seed,class_name,n,mean_divergence,sd_divergence
37,LINE,314453,231.83266497696,84.89433584403179
37,LTR,138972,205.65156290475778,71.81851817357109
37,RC,494,273.6437246963563,41.11643621494117
37,Retroposon,1679,165.1524717093508,96.63158013546767
37,SINE,430287,177.69641425374226,85.2926487192828
38,DNA,117662,227.88003773520762,62.98501770616195
38,LINE,313469,231.8310742051048,85.0082200020862
38,LTR,138774,205.01882917549398,71.5585348162585
38,RC,469,269.20255863539444,40.12331091449497
38,Retroposon,1685,167.0474777448071,96.16031434260752
38,SINE,430267,178.00136659330136,85.49074059993595
39,DNA,117985,227.66326227910326,62.86477464170042
39,LINE,311661,231.9110860839181,85.07413770077412
39,LTR,138791,206.2548652290134,71.56606603782689
39,RC,516,272.83527131782944,37.36108632572151
39,Retroposon,1644,168.07907542579076,94.75852175595541
39,SINE,429614,177.77870600120107,85.25083236672086
40,DNA,118462,227.50834866877142,62.89792017121299
40,LINE,315488,231.74853243229538,85.00272807006249
40,LTR,139583,205.82767242429236,71.5339059170856
40,RC,465,272.7010752688172,38.42617414027645
40,Retroposon,1705,165.55601173020528,97.47279010011027
40,SINE,430417,178.00743697391135,85.54001803467854
41,DNA,118627,227.6832424321613,62.90819729337566
41,LINE,313620,231.79874689114214,85.07700676966836
41,LTR,138203,205.30376330470395,71.56760503736736
41,RC,466,272.04935622317595,41.474586686153586
41,Retroposon,1665,162.23183183183184,96.18747495430907
41,SINE,430357,177.5620496471534,85.29666172328011
42,DNA,117340,228.11719788648372,62.86224847285888
42,LINE,313854,231.59583755504153,85.12103318075688
42,LTR,138835,205.90037814672093,71.76958581345458
42,RC,453,269.84326710816777,40.3384104214633
42,Retroposon,1681,162.84414039262344,94.29336165195161
42,SINE,429358,177.4543085257524,85.22751312425515
43,DNA,117364,228.12814832486964,62.918489437425606
43,LINE,313659,231.83400444431692,84.97152651502024
43,LTR,138964,204.93997006418928,71.49483241518656
43,RC,419,275.15751789976133,42.14702088517648
43,Retroposon,1758,170.4806598407281,97.76709817156711
43,SINE,430568,177.62146281191357,85.15863129323675
44,DNA,117696,228.31170133224578,62.946114281405514
44,LINE,312978,232.1197400456262,85.04038566428731
44,LTR,138437,205.45118718261736,71.68522336574617
44,RC,482,271.8692946058091,40.13159798417987
44,Retroposon,1645,166.61884498480242,96.59905546746806
44,SINE,430672,177.84944691087418,85.29537231274134
45,DNA,118413,227.76438397811052,63.0278612825766
45,LINE,312847,231.68435689010923,85.49653683024363
45,LTR,139173,205.3567071199155,71.52420938256954
45,RC,455,271.8857142857143,38.2082799018907
45,Retroposon,1608,169.4825870646766,97.24614072468073
45,SINE,431169,177.85823888081006,85.4316873577229
46,DNA,118743,228.01771893922168,62.709209049802126
46,LINE,313297,231.8209686016783,85.41393775053834
46,LTR,139784,205.40312911348937,71.70419924863644
46,RC,481,274.08731808731807,40.62593245730662
46,Retroposon,1696,164.23820754716982,97.47774832002344
46,SINE,432025,177.98449858225797,85.35346901675908
47,DNA,117426,228.1963875121353,62.78135263040969
47,LINE,313864,231.94879629393623,84.7934659564953
47,LTR,139630,205.58906395473753,71.6499879666843
47,RC,443,270.30699774266367,41.47359703784242
47,Retroposon,1671,166.31358467983245,96.08083595949873
47,SINE,430516,177.7923259530424,85.21258480900644
48,DNA,117660,228.7086690464049,62.71387541541911
48,LINE,314106,231.50664107021197,84.95815126755141
48,LTR,139754,205.7994833779355,71.57558761044048
48,RC,513,272.83820662768034,40.58441425725494
48,Retroposon,1784,166.01008968609867,95.8280931710484
48,SINE,429182,177.27445932028837,85.37630465306242
49,DNA,117559,227.97073809746595,62.74624294727504
49,LINE,313870,232.08766049638385,84.81394423225397
49,LTR,139411,205.85250087869682,71.91375027471892
49,RC,569,271.2671353251318,40.672237747978464
49,Retroposon,1740,166.03218390804597,96.11040166924519
49,SINE,430179,178.09334718803103,85.51013135501464
50,DNA,118617,228.18176989807532,62.906905850679685
50,LINE,313099,232.00865221543344,84.68103541706748
50,LTR,139277,205.52269218894722,71.71812995130414
50,RC,464,267.9073275862069,43.09074764393601
50,Retroposon,1646,164.9034021871203,97.17594882969995
50,SINE,430233,177.94062287179273,85.5259970125423
