seed,DNA,LINE,LTR,RC,Retroposon,SINE,total_rows
300,32472,127186,39734,140,492,112115,312139
301,32203,127267,40226,132,516,112364,312708
302,32533,126475,39807,129,469,112070,311483
303,32590,127500,39703,123,489,112268,312673
304,32641,126528,40217,130,513,113081,313110
305,32913,127072,39957,157,544,112155,312798
306,32459,126035,40495,116,460,112205,311770
307,32577,127304,39927,175,459,112451,312893
308,32349,127002,40069,145,514,111521,311600
309,32122,126933,40246,139,548,112462,312450
310,32812,126723,40336,116,547,111844,312378
311,32597,127939,40324,146,530,112715,314251
312,32348,126890,40584,146,540,112066,312574
313,32629,126752,40611,127,535,112205,312859
314,32843,127132,40447,108,530,112862,313922
315,32472,126999,39905,157,502,112845,312880
316,32634,127252,39958,99,555,113192,313690
317,32505,126497,40029,142,488,113003,312664
318,32607,126791,40336,141,531,112283,312689
319,32695,127181,40605,158,517,112331,313487
320,32662,126539,39949,139,515,113082,312886
321,32483,126839,40074,108,533,112542,312579
322,32529,127140,40166,149,487,112662,313133
323,32553,127218,39836,148,474,112023,312252
324,32323,126475,39963,154,512,112205,311632
325,32419,126808,40249,141,456,112249,312322
326,32557,127472,40285,110,503,112111,313038
327,32366,126263,40465,130,494,112867,312585
328,33023,126689,39940,116,509,112399,312676
329,32788,127339,40186,138,429,112110,312990
330,32529,126415,39771,134,432,112590,311871
331,32452,127657,40284,107,530,112258,313288
332,32495,126366,40207,107,521,112743,312439
333,32598,126758,40512,124,571,112728,313291
334,32662,126716,40519,123,566,111489,312075
335,32555,127341,40193,133,492,112386,313100
336,32731,126953,39860,131,538,112746,312959
337,32726,127222,39984,158,477,111857,312424
338,32419,126845,39862,154,517,112786,312583
339,32450,127162,39740,152,477,112605,312586
340,32464,126086,40227,130,496,111862,311265
341,32444,126706,40006,120,525,111870,311671
342,32537,126791,40117,155,575,112593,312768
343,32772,127420,39920,138,549,112781,313580
344,32872,127147,40320,136,518,112551,313544
345,32323,127056,39788,141,507,113074,312889
346,32520,126937,40440,140,558,112529,313124
347,32623,125894,39889,117,521,112079,311123
348,32422,126762,39837,149,525,112675,312370
349,32836,126571,40288,134,514,113001,313344
350,32439,126951,39857,153,571,112940,312911
351,32006,127197,40648,129,517,112139,312636
352,32723,126494,40224,125,469,112403,312438
353,32484,126649,40181,159,551,112089,312113
354,32890,126297,40115,160,572,112582,312616
355,32413,126913,39674,168,512,112530,312210
356,32203,126154,40382,137,480,112683,312039
357,32834,127576,39813,123,519,112868,313733
358,32561,126206,40522,159,522,112053,312023
359,32430,126228,40167,136,517,112813,312291
360,32553,126029,39962,135,510,112604,311793
361,32387,127312,39856,151,506,111546,311758
362,32452,125975,40255,124,505,112058,311369
363,32394,126812,40291,121,505,113066,313189
364,32084,126656,40607,112,481,111761,311701
365,32756,126968,39956,122,455,112552,312809
366,32591,126017,40504,128,475,113163,312878
367,33008,127369,39528,133,492,112795,313325
368,32488,126865,40055,131,581,112115,312235
369,32591,126840,39656,149,521,112595,312352
370,32819,127094,40451,138,461,112454,313417
371,32663,128068,40289,120,458,111982,313580
372,32763,127138,40570,127,501,111585,312684
373,32524,126641,40078,142,470,112741,312596
374,32852,126949,40049,142,546,112722,313260
375,32313,126600,40100,132,488,113017,312650
376,32690,127315,39483,142,495,112444,312569
377,32309,126647,39986,137,538,111662,311279
378,32516,126839,39948,136,517,111815,311771
379,32501,126908,40398,117,483,111851,312258
380,32420,126603,39588,111,472,112927,312121
381,32359,127518,40510,104,488,112163,313142
382,32640,126234,40152,141,492,111886,311545
383,32204,126817,39807,98,518,112749,312193
384,32574,126556,39864,135,496,112545,312170
385,32308,126712,40130,120,486,112345,312101
386,32465,125828,39730,171,516,112803,311513
387,32565,126427,40349,137,486,112892,312856
388,32462,126613,40256,144,528,112192,312195
389,32743,127126,40204,144,519,112499,313235
390,32503,127813,40392,131,483,112797,314119
391,32390,127178,39899,150,501,112657,312775
392,32210,126741,40264,134,480,112460,312289
393,32253,127191,40328,165,538,112344,312819
394,32565,127099,40358,127,519,112827,313495
395,32748,127653,40178,127,549,112771,314026
396,32547,127809,40182,134,471,112041,313184
397,32170,126486,40285,125,493,111886,311445
398,32429,126011,40219,128,564,113619,312970
399,32731,126506,40304,129,478,112550,312698
400,32412,126901,39962,128,484,112562,312449
401,32620,126302,39847,136,489,113129,312523
402,32134,126556,40369,120,519,112459,312157
403,32516,126362,40014,155,516,113128,312691
404,32629,126686,40187,127,520,112747,312896
405,32775,126488,39806,152,483,112693,312397
406,32741,125958,40553,119,459,112709,312539
407,32152,127141,40271,129,588,112499,312780
408,32887,126584,40209,105,521,111952,312258
409,32258,126562,40401,140,443,112349,312153
410,32369,127038,39498,143,538,112966,312552
411,32044,127675,40365,137,448,112282,312951
412,32664,126497,40016,115,548,112635,312475
413,32247,126005,40157,119,524,112746,311798
414,32900,125940,40204,129,478,111957,311608
415,32850,126669,40296,123,507,113006,313451
416,32534,126186,40000,103,468,112714,312005
417,32512,126657,40079,136,543,112825,312752
418,32676,126555,39858,143,506,112596,312334
419,32705,126687,40078,130,490,113046,313136
420,32577,126918,40010,125,551,112263,312444
421,32407,127527,39687,145,483,112878,313127
422,32793,127451,40291,105,490,112395,313525
423,32253,127145,39993,138,534,113342,313405
424,32479,126301,40218,127,521,112101,311747
425,32744,127063,39924,143,575,111537,311986
426,32208,128115,39962,128,516,112813,313742
427,32241,126601,40060,146,534,112722,312304
428,32388,127277,40263,120,541,112584,313173
429,32705,127073,39337,130,488,113235,312968
430,32180,126349,39966,130,493,112656,311774
431,32142,126331,40028,140,486,112778,311905
432,32481,126930,39776,135,520,113097,312939
433,32396,125998,40472,144,521,112614,312145
434,32372,126797,40141,125,523,112124,312082
435,32521,126632,40530,143,512,112539,312877
436,32388,126510,40021,112,526,112228,311785
437,32536,127632,39980,143,523,112028,312842
438,32510,127038,39809,139,574,112457,312527
439,32296,126917,40498,127,475,112998,313311
440,32321,127424,40674,152,482,112485,313538
441,32389,126541,40703,123,534,113568,313858
442,32584,126766,40169,120,547,112446,312632
443,32462,127780,40159,136,490,112726,313753
444,32551,127197,40479,141,479,112147,312994
445,32502,126466,40078,95,503,112368,312012
446,32162,127905,40619,120,495,112244,313545
447,32391,126667,40488,127,499,112587,312759
448,32498,126772,39949,140,565,112832,312756
449,32290,126469,40083,129,521,112941,312433
450,32427,126922,40210,106,533,112529,312727
451,32680,126096,39991,131,472,112668,312038
452,32578,126635,39956,145,514,113118,312946
453,32155,127124,40021,140,522,112615,312577
454,32715,127486,40378,153,488,113323,314543
455,32323,126171,40354,119,550,113036,312553
456,32400,127267,40506,111,443,112088,312815
457,32477,126474,39892,113,532,112140,311628
458,32573,126453,40716,154,542,113005,313443
459,32254,126654,40310,164,520,112077,311979
460,32160,126948,40387,145,515,112745,312900
461,32289,126268,40024,121,522,112330,311554
462,32719,126481,40186,112,490,112275,312263
463,32885,125964,40368,145,545,112954,312861
464,32707,127196,40264,133,526,113057,313883
465,32649,127175,40433,130,525,112277,313189
466,32606,126803,39877,117,567,111514,311484
467,33108,127249,40151,130,498,112707,313843
468,32558,125675,40379,152,466,112477,311707
469,32858,127082,39925,121,453,112803,313242
470,32751,127168,40142,136,532,113281,314010
471,32574,126936,40120,131,486,112109,312356
472,32724,126872,39914,154,506,112713,312883
473,32936,126579,39721,114,499,112330,312179
474,32481,127139,40141,135,513,112267,312676
475,32061,127032,40418,131,543,112463,312648
476,32534,126843,40037,144,509,112616,312683
477,32392,126541,39703,104,516,111999,311255
478,32884,126549,40239,140,557,113208,313577
479,32672,126988,39976,128,466,112724,312954
480,33048,126698,40512,149,545,111927,312879
481,32529,127247,40132,137,511,112419,312975
482,32557,125762,39984,116,546,112254,311219
483,32647,126813,40410,133,521,112314,312838
484,32618,126639,40219,120,524,112656,312776
485,32798,126374,40527,158,504,112449,312810
486,32315,126901,40258,139,510,112122,312245
487,32456,127335,39834,131,485,113137,313378
488,32367,126704,39832,100,511,112917,312431
489,32867,127486,40675,143,489,111910,313570
490,32854,126793,40359,125,519,112419,313069
491,32641,126346,39602,144,540,112878,312151
492,32580,126832,40310,128,512,113256,313618
493,32310,127398,40402,119,536,112467,313232
494,32591,126642,40047,129,488,112528,312425
495,32570,126929,39703,125,551,112463,312341
496,32325,127458,40121,125,518,113174,313721
497,33004,127355,39516,160,529,112751,313315
498,32602,126767,40479,146,508,111766,312268
499,32509,125875,40186,120,481,112052,311223
500,32932,125991,39975,125,480,112374,311877
