test,null_mean_l1_divergence
T1_divergence_unmatched,36.2
T1_divergence_unmatched,215.0
T1_divergence_unmatched,216.18
T1_divergence_unmatched,165.898
T1_divergence_unmatched,169.632
T1_divergence_unmatched,196.978
T1_divergence_unmatched,183.536
T1_divergence_unmatched,188.631
T1_divergence_unmatched,217.275
T1_divergence_unmatched,49.0769
T1_divergence_unmatched,215.886
T1_divergence_unmatched,158.804
T1_divergence_unmatched,166.667
T1_divergence_unmatched,233.364
T1_divergence_unmatched,204.093
T1_divergence_unmatched,219.933
T1_divergence_unmatched,187.918
T1_divergence_unmatched,136.208
T1_divergence_unmatched,160.784
T1_divergence_unmatched,179.641
T1_divergence_unmatched,156.048
T1_divergence_unmatched,212.342
T1_divergence_unmatched,207.561
T1_divergence_unmatched,206.635
T1_divergence_unmatched,162.673
T1_divergence_unmatched,54.3333
T1_divergence_unmatched,190.982
T1_divergence_unmatched,238.383
T1_divergence_unmatched,194.755
T1_divergence_unmatched,186.901
T1_divergence_unmatched,189.304
T1_divergence_unmatched,164.0
T1_divergence_unmatched,204.622
T1_divergence_unmatched,173.091
T1_divergence_unmatched,173.708
T1_divergence_unmatched,180.317
T1_divergence_unmatched,182.268
T1_divergence_unmatched,188.981
T1_divergence_unmatched,166.789
T1_divergence_unmatched,190.453
T1_divergence_unmatched,212.167
T1_divergence_unmatched,187.515
T1_divergence_unmatched,185.475
T1_divergence_unmatched,202.533
T1_divergence_unmatched,191.257
T1_divergence_unmatched,217.104
T1_divergence_unmatched,212.068
T1_divergence_unmatched,174.579
T1_divergence_unmatched,185.31
T1_divergence_unmatched,194.102
T1_divergence_unmatched,174.681
T1_divergence_unmatched,166.769
T1_divergence_unmatched,198.143
T1_divergence_unmatched,193.927
T1_divergence_unmatched,226.367
T1_divergence_unmatched,194.704
T1_divergence_unmatched,200.0
T1_divergence_unmatched,204.306
T1_divergence_unmatched,206.229
T1_divergence_unmatched,188.839
T1_divergence_unmatched,192.55
T1_divergence_unmatched,222.531
T1_divergence_unmatched,196.885
T1_divergence_unmatched,192.604
T1_divergence_unmatched,161.024
T1_divergence_unmatched,224.907
T1_divergence_unmatched,177.273
T1_divergence_unmatched,182.018
T1_divergence_unmatched,180.932
T1_divergence_unmatched,211.9
T1_divergence_unmatched,173.373
T1_divergence_unmatched,176.125
T1_divergence_unmatched,171.178
T1_divergence_unmatched,183.586
T1_divergence_unmatched,198.485
T1_divergence_unmatched,191.615
T1_divergence_unmatched,183.154
T1_divergence_unmatched,246.886
T1_divergence_unmatched,167.911
T1_divergence_unmatched,179.857
T1_divergence_unmatched,194.433
T1_divergence_unmatched,169.375
T1_divergence_unmatched,220.692
T1_divergence_unmatched,181.854
T1_divergence_unmatched,152.781
T1_divergence_unmatched,202.738
T1_divergence_unmatched,173.263
T1_divergence_unmatched,186.45
T1_divergence_unmatched,191.298
T1_divergence_unmatched,216.625
T1_divergence_unmatched,169.61
T1_divergence_unmatched,203.051
T1_divergence_unmatched,155.442
T1_divergence_unmatched,175.978
T1_divergence_unmatched,172.784
T1_divergence_unmatched,186.462
T1_divergence_unmatched,192.657
T1_divergence_unmatched,189.6
T1_divergence_unmatched,188.636
T1_divergence_unmatched,195.014
T1_divergence_unmatched,197.919
T1_divergence_unmatched,164.5
T1_divergence_unmatched,208.0
T1_divergence_unmatched,174.24
T1_divergence_unmatched,207.419
T1_divergence_unmatched,155.625
T1_divergence_unmatched,203.0
T1_divergence_unmatched,208.25
T1_divergence_unmatched,182.184
T1_divergence_unmatched,179.489
T1_divergence_unmatched,191.725
T1_divergence_unmatched,195.5
T1_divergence_unmatched,183.977
T1_divergence_unmatched,192.14
T1_divergence_unmatched,178.61
T1_divergence_unmatched,169.605
T1_divergence_unmatched,178.122
T1_divergence_unmatched,183.295
T1_divergence_unmatched,209.417
T1_divergence_unmatched,175.932
T1_divergence_unmatched,214.148
T1_divergence_unmatched,204.719
T1_divergence_unmatched,170.756
T1_divergence_unmatched,174.571
T1_divergence_unmatched,192.571
T1_divergence_unmatched,161.709
T1_divergence_unmatched,199.893
T1_divergence_unmatched,202.868
T1_divergence_unmatched,242.118
T1_divergence_unmatched,169.81
T1_divergence_unmatched,201.778
T1_divergence_unmatched,33.75
T1_divergence_unmatched,194.289
T1_divergence_unmatched,186.778
T1_divergence_unmatched,180.333
T1_divergence_unmatched,158.655
T1_divergence_unmatched,160.205
T1_divergence_unmatched,185.371
T1_divergence_unmatched,191.235
T1_divergence_unmatched,161.464
T1_divergence_unmatched,18.0
T1_divergence_unmatched,212.733
T1_divergence_unmatched,199.588
T1_divergence_unmatched,185.367
T1_divergence_unmatched,189.317
T1_divergence_unmatched,215.75
T1_divergence_unmatched,188.194
T1_divergence_unmatched,192.229
T1_divergence_unmatched,198.754
T1_divergence_unmatched,175.737
T1_divergence_unmatched,189.051
T1_divergence_unmatched,221.702
T1_divergence_unmatched,176.04
T1_divergence_unmatched,186.964
T1_divergence_unmatched,185.237
T1_divergence_unmatched,207.895
