,class_name,individual_name
3094,LINE,L1ME5
3096,DNA,MamRep4096
3117,LINE,L1MA9
3123,LTR,LTR85c
3129,LINE,L1P2
3138,LTR,LTR85a
3139,DNA,Tigger19a
3155,LINE,HAL1ME
3158,LTR,LTR24C
3162,LINE,L1MA1
3178,LTR,MSTC
3192,LTR,MER21A
3206,DNA,X6a_DNA
3218,LTR,MLT1J2
3269,LTR,MLT2A2
3287,LTR,MER48
3293,LTR,HERVH-int
3295,LINE,L1MCa
3296,LTR,LTR7Y
3298,LINE,L1PA17
3319,LTR,LTR53B
3344,LTR,MER4A1_v
3351,LINE,L1ME3E
3353,LTR,MER61B
3383,LTR,LTR16
3387,SINE,FAM
3394,LTR,LOR1a
3405,LTR,LTR33A_v
3413,LTR,MER57B1
3463,LTR,LTR16A2
3465,LTR,LTR53
3472,LINE,X17_LINE
3493,LTR,MER90a
3500,LTR,LTR50
3508,LTR,LTR1A2
3529,LTR,LTR89B
3540,LTR,MER11A
3543,LTR,LTR81AB
3561,LTR,LTR1B1
3580,LTR,MER61D
3585,LTR,MER61A
3596,DNA,Arthur1
3606,LINE,X7A_LINE
3610,LTR,LTR8
3613,DNA,Eutr15
3614,LTR,MLT2C1
3657,DNA,MamRep434
3673,LINE,L1PB2
3677,LINE,L1P3
3688,LTR,EUTREP8
3697,LINE,CR1_Mam
3701,DNA,MER45R
3721,DNA,MamTip1
3743,LTR,LTR101_Mam
3746,LINE,X6B_LINE
3758,LTR,MLT1G
3766,DNA,Tigger11a
3768,LTR,MER110
3786,LINE,Plat_L3
3788,LTR,MLT1N2
3790,LTR,LTR66
3801,LTR,MER54B
3803,LINE,L2-1_AMi
3818,DNA,BLACKJACK
3824,LTR,MER70A
3834,LTR,MLT1E
3845,LINE,L1ME3F
3865,LINE,L1MD1
3875,LTR,MamGypsy2-I
3910,LTR,LTR90B
3933,DNA,MER20B
3998,LTR,LTR16D
4001,LTR,MLT1F
4016,LTR,LTR24
4017,LTR,LTR24B
4023,LTR,MER57A1
4028,LTR,LTR10C
4034,DNA,MER45A
4037,DNA,MADE1
4043,LTR,MLT2A1
4048,LTR,LTR48B
4062,LTR,MLT2B5
4067,LTR,MER70B
4087,LINE,L1PREC2
4089,LINE,HAL1b
4106,DNA,MER121B
4126,SINE,LFSINE_Vert
4127,DNA,Tigger9b
4133,DNA,Kanga2_a
4141,LTR,MamRep1527
4146,DNA,Tigger23a
4171,LTR,MamGypLTR1a
4247,LINE,L1MEj
4264,LINE,L4_A_Mam
4270,DNA,MamRep38
4274,LINE,L1PB3
4283,LTR,LTR23
4286,LTR,MER34B
4289,LTR,LTR54
4300,LTR,MER34C
4313,DNA,MER75A
4315,LTR,LTR16A
4335,LINE,L1M6
4338,DNA,MER44D
4366,LTR,MER34A1
4384,LINE,L4_C_Mam
4451,DNA,MamRep1879
4488,LTR,LTR16B2
4567,DNA,Zaphod3
4596,DNA,MER58D
4600,DNA,MamTip2
4634,LTR,LTR33A
4672,LTR,MER41A
4685,LTR,LTR8B
4703,DNA,MER5C
4719,DNA,MER2
4773,LTR,MER4E
4808,DNA,Tigger13a
4809,LTR,LTR16D2
4811,DNA,ORSL
4825,DNA,MARNA
4852,LTR,LTR16B1
4875,LINE,L1MA6
4876,LTR,MLT1G1
4882,LTR,LTR84b
4919,LTR,LTR1C
4922,LTR,LTR5A
4925,LTR,MST-int
4947,LTR,LTR91
5105,Retroposon,SVA_C
5119,LTR,LTR40a
5125,LINE,L1PA2
5128,LINE,X12_LINE
5135,DNA,MER105
5138,LTR,LTR19B
5150,DNA,Charlie16a
5158,DNA,FordPrefect
5191,LTR,HERVP71A-int
5193,LTR,LTR71B
5212,LTR,LTR16D1
5252,DNA,Charlie18a
5255,LTR,MER51E
5292,LINE,L1P1
5315,LTR,LTR86A1
5367,LTR,LTR75_1
5370,LTR,MER72
5372,Retroposon,SVA_B
5601,DNA,Charlie32a
5768,Retroposon,SVA_F
5874,SINE,AluYj4
6175,LTR,MLT2C2
6182,LTR,LTR21B
6183,LTR,HERVFH21-int
6186,LTR,LTR14A
6293,DNA,Tigger5b
6326,LTR,LTR12
6364,LTR,MER101
6373,LINE,X7C_LINE
6379,LTR,LTR36
6439,DNA,MER130
6441,DNA,MER126
6462,LTR,MLT1M
6487,SINE,AluYk12
6505,LTR,LTR71A
6606,DNA,Tigger14a
6619,LINE,X24_LINE
6640,DNA,Charlie7a
6641,DNA,MamRep137
6652,DNA,Charlie29a
6657,LTR,MER4-int
6675,LTR,MLT2F
6702,DNA,Charlie17a
6712,DNA,MER94B
6757,DNA,Eulor2A
6809,LINE,X9_LINE
6829,LINE,Penelope1_Vert
6956,LTR,LTR86A2
6963,DNA,MER102b
6980,LINE,X5B_LINE
6989,LINE,X20_LINE
7210,LINE,Mam_R4
7264,DNA,Ricksha_c
7295,DNA,X9a_DNA
7404,LINE,CR1-16_AMi
7424,DNA,MER96B
7547,LTR,LTR1F
7571,DNA,Charlie24
7708,SINE,AluYh7
7724,DNA,MER75B
7733,DNA,Kanga11a
7972,DNA,Tigger3b
8006,DNA,Zaphod
8021,DNA,Charlie30a
8042,LTR,MER84-int
8044,LTR,MER84
8148,DNA,MARE8
8150,DNA,MARE4
8177,LINE,L1MA3
8215,DNA,Charlie10
8249,LTR,LTR9D
8295,DNA,Charlie26a
8352,DNA,Charlie21a
8395,LTR,MamGypLTR2c
8422,LTR,LTR103b_Mam
8457,DNA,EuthAT-2
8602,LTR,LTR29
8658,LTR,MamGypLTR1b
8741,DNA,Charlie10b
8746,DNA,Tigger16b
8793,LTR,LTR86C
8809,LINE,L1M
8883,DNA,Charlie2b
8981,DNA,MER104
9109,DNA,MER5C1
9147,DNA,Charlie23a
9170,DNA,Tigger9a
