,family_name,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh,family_label,neg_log10_adj_p,OR_Observed_to_Random
17,Helitron,RC,173,1869,1.066025991,0.412661526,0.585713134,263.6878613,272.4933119,2.238046103,3.271609301,1.6137595,0.162768288,1,0,0.003992016,0.0088,Helitron (RC),0.232315037,0.660585416
18,TcMar-Mariner,DNA,1513,15617,1.121100149,3.08E-05,5.65E-05,156.6259088,154.8951143,3.179838928,4.19359761,1.54627967,0.050132506,1,0,0.003992016,0.0088,TcMar-Mariner (DNA),4.24829944,0.725030647
19,TcMar-Tigger,DNA,11686,106067,1.293996388,1.65E-142,8.07E-142,209.9204176,210.4271828,4.067665882,5.025580285,1.645907671,0.021378937,1,0,0.003992016,0.0088,TcMar-Tigger (DNA),141.0931916,0.786190144
20,TcMar-Tc2,DNA,775,6918,1.318466218,2.66E-12,5.31E-12,238.203871,242.2442903,2.889301703,3.839980558,1.609986866,0.082533099,1,0,0.003992016,0.0088,TcMar-Tc2 (DNA),11.27487044,0.818929798
21,hAT-Blackjack,DNA,1983,16167,1.461075004,1.99E-51,6.26E-51,217.1664145,227.3720542,3.297322714,4.208629438,1.558021573,0.049839442,0.978,0.044,0.044,0.080666667,hAT-Blackjack (DNA),50.20315436,0.937775849
22,tRNA-Deu,SINE,56,455,1.466772236,0.009790251,0.015954484,285.5178571,278.6395604,1.748188027,2.658011397,1.570808787,0.326866038,0.582,0.836,0.836,0.871813953,tRNA-Deu (SINE),1.797117244,0.9337688
23,tRNA-RTE,SINE,527,4154,1.518486264,1.59E-17,3.67E-17,307.2220114,311.3062109,2.721810615,3.618466492,1.524467118,0.099418599,0.494,0.988,0.988,0.988,tRNA-RTE (SINE),16.43517634,0.996076758
24,ERV1,LTR,15501,116610,1.602236855,0,0,154.6224115,162.7068776,4.190359716,5.066735795,1.777234222,0.02157202,1,0,0.003992016,0.0088,ERV1 (LTR),300,0.901533875
25,hAT-Tip100,DNA,7629,57232,1.607354947,2.73E-290,1.50E-289,248.3283523,256.4433883,3.882467615,4.757638923,1.625485847,0.027866914,0.738,0.524,0.524,0.623135135,hAT-Tip100 (DNA),288.8232205,0.988845858
26,hAT-Charlie,DNA,31570,232104,1.645333121,0,0,227.0306303,233.1126478,4.499274582,5.365682625,1.58045224,0.013199572,0,0,0.003992016,0.0088,hAT-Charlie (DNA),300,1.041052099
