subfamily_name,subfamily_name,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh
L1PA5,L1PA5,LINE,948,9740,1.1268558124132517,0.0005682193293783883,0.001387766439058756,46.050632911392405,48.210164271047226,2.976808337338066,3.9885589568786157,2.565608811269228,0.10315533244618208,1.0,0.0,0.003992015968063872,0.010707259953161602
L1P4,L1P4,LINE,349,3246,1.2589966290087038,7.746053016614851e-05,0.00020734750814966685,147.487106017192,146.52094886013555,2.5428254269591797,3.511348515490213,2.643067934568484,0.1806543697397926,1.0,0.0,0.003992015968063872,0.010707259953161602
L1ME3D,L1ME3D,LINE,317,1988,1.9825793754265013,5.196333868645941e-25,4.153433295008609e-24,247.49842271293375,255.3807847082495,2.5010592622177517,3.2984163800612945,2.675521926040896,0.21680488413839072,1.0,0.0,0.003992015968063872,0.010707259953161602
L1PA8A,L1PA8A,LINE,134,1634,0.9336004343541812,0.4831382136555238,0.572849562456705,93.22388059701493,94.24602203182374,2.1271047983648077,3.2132520521963968,2.591374608797276,0.2484915848535688,1.0,0.0,0.003992015968063872,0.010707259953161602
L1PA10,L1PA10,LINE,608,5816,1.2200575018381006,5.851381850384163e-06,1.7740396432331826e-05,98.42105263157895,103.97919532324622,2.783903579272735,3.7646243978509815,2.618111734386717,0.13285699095009113,1.0,0.0,0.003992015968063872,0.010707259953161602
L1MA8,L1MA8,LINE,867,6861,1.5116468659852553,2.9806120957014255e-27,2.542417630885619e-26,143.24336793540945,151.19632706602536,2.9380190974762104,3.836387419326411,2.6733969200757794,0.13071382549253077,1.0,0.0,0.003992015968063872,0.010707259953161602
L1PA8,L1PA8,LINE,661,6369,1.2102224339292218,5.884539651508694e-06,1.7793727041466765e-05,78.88199697428139,77.84079133301931,2.82020145948564,3.8040712488856614,2.588736149828119,0.1302252937751313,1.0,0.0,0.003992015968063872,0.010707259953161602
LTR22C2,LTR22C2,LTR,1,71,0.1492964468278176,0.019879628493528007,0.03714369452800285,123.0,138.3943661971831,0.0,1.8512583487190752,1.6607954418289965,0.8511801598870217,0.994,0.01200000000000001,0.01200000000000001,0.028875789473684237
L1PA15-16,L1PA15-16,LINE,51,719,0.7978866782009333,0.1284567270921906,0.1916789021754228,191.05882352941177,191.43115438108484,1.7075701760979363,2.8567288903828825,2.897486724022909,0.39834093205632326,1.0,0.0,0.003992015968063872,0.010707259953161602
L1PA11,L1PA11,LINE,347,3043,1.3451082920229875,5.248857946954085e-07,1.7749836193397986e-06,98.55331412103746,104.41570818271443,2.5403294747908736,3.483301952358167,2.6232279553299094,0.18648169650909416,1.0,0.0,0.003992015968063872,0.010707259953161602
