subfamily_name,subfamily_name,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh
L5,L5,LINE,81,559,1.7709434746408284,8.32890043543789e-06,2.4663039372294065e-05,271.71604938271605,272.86046511627904,1.9084850188786497,2.747411807886423,1.9273074780298598,0.3220400741077958,0.676,0.6479999999999999,0.6479999999999999,0.7414054054054054
L2,L2,LINE,8484,44723,2.4466958125388536,0.0,0.0,308.4227958510137,315.98964738501445,3.9286006598445242,4.650530928146397,2.114679339377142,0.04096276719032915,0.0,0.0,0.003992015968063872,0.010707259953161602
LTR33,LTR33,LTR,613,7483,0.9325050397902097,0.10139328485820873,0.15661151972017914,274.0293637846656,286.82266470666843,2.787460474518415,3.8740757452230348,1.577232299796593,0.07612677221204865,1.0,0.0,0.003992015968063872,0.010707259953161602
MIR,MIR,SINE,24296,153574,1.9641592731750384,0.0,0.0,266.50996048732304,273.5391146938935,4.385534778910209,5.186317696084091,1.534414274622676,0.016766480496096338,0.0,0.0,0.003992015968063872,0.010707259953161602
AluSc,AluSc,SINE,3815,23710,2.0040159277420866,9.202931815978314e-289,3.0938091369597686e-287,94.59711664482306,98.19198650358499,3.581494542290899,4.374931553978188,1.533793638274177,0.042530339114372144,0.0,0.0,0.003992015968063872,0.010707259953161602
MLT1H,MLT1H,LTR,600,7530,0.9048267596493704,0.018893022601874376,0.03540118825236461,257.825,262.1363877822045,2.7781512503836434,3.8767949762007006,1.6009837440733659,0.07600403802294996,1.0,0.0,0.003992015968063872,0.010707259953161602
L3,L3,LINE,5395,29751,2.3149301613822555,0.0,0.0,297.1714550509731,305.185640818796,3.7319914490189294,4.473501567953073,2.2503029100941125,0.053456891657216316,0.126,0.252,0.252,0.36094736842105263
MamRep605,MamRep605,LTR,279,2655,1.2271718100814006,0.0015532934089580086,0.0035508287328780076,277.2043010752688,278.74651600753293,2.4456042032735974,3.4240645254174877,1.6358345311220854,0.13862333193195023,1.0,0.0,0.003992015968063872,0.010707259953161602
AluSz,AluSz,SINE,8215,47649,2.17716499315771,0.0,0.0,115.22897139379184,120.72830489622028,3.9146075677710805,4.678053790618855,1.5346010547118232,0.02978767904825392,0.0,0.0,0.003992015968063872,0.010707259953161602
Tigger5,Tigger5,DNA,41,557,0.8303891437662597,0.2927858198155089,0.3768628288841516,164.02439024390245,167.6355475763016,1.6127838567197355,2.745855195173729,1.9072313163606447,0.3288580321285132,1.0,0.0,0.003992015968063872,0.010707259953161602
MSTB1,MSTB1,LTR,252,3744,0.7541777155081862,8.094064414886118e-06,2.4029910717441124e-05,161.89285714285714,164.15785256410257,2.401400540781544,3.5733358400660675,1.5812678177243542,0.10932226819939996,1.0,0.0,0.003992015968063872,0.010707259953161602
L1MC5a,L1MC5a,LINE,2465,10149,3.352585388364161,0.0,0.0,236.958215010142,241.83899891614936,3.391816923613249,4.006423252507643,3.0496070832739997,0.1163612129855432,0.008,0.016,0.016,0.03709533468559841
L1ME3B,L1ME3B,LINE,719,3761,2.4701190458471523,3.7213933829737204e-87,6.076503766769946e-86,250.230876216968,254.73517681467695,2.8567288903828825,3.575303333422399,2.6893822975267057,0.16696259553305187,0.894,0.21199999999999997,0.21199999999999997,0.31716753926701563
L1M4,L1M4,LINE,1810,9286,2.5302215449206376,2.864796808544251e-226,7.986494517478242e-225,190.89005524861878,198.11931940555675,3.2576785748691846,3.967828679330155,2.732307614590165,0.10920434021048275,0.976,0.04800000000000004,0.04800000000000004,0.09574869109947652
HAL1M8,HAL1M8,LINE,106,1117,1.095726702603871,0.36749118778554135,0.4606286780913245,218.82075471698113,229.8316920322292,2.0253058652647704,3.048053173115609,2.0708703928710945,0.23978544104970112,1.0,0.0,0.003992015968063872,0.010707259953161602
L1MA2,L1MA2,LINE,499,4542,1.289865729650186,1.9028142290500015e-07,6.733488123232669e-07,104.76753507014028,113.94826067811536,2.6981005456233897,3.6572471298837166,2.739866413267714,0.15733610694649142,1.0,0.0,0.003992015968063872,0.010707259953161602
L1PA6,L1PA6,LINE,461,4361,1.2353328190190143,2.826730158316896e-05,7.880372124283444e-05,63.3470715835141,64.18206833295116,2.663700925389648,3.6395860866734266,2.621097900550049,0.14654623947825424,1.0,0.0,0.003992015968063872,0.010707259953161602
