subfamily_name,subfamily_name,subfamily_name.1,class_name,Observed_TEs_number,Total_TEs_number,Observed_Odds_Ratio,Enrichment_p_value,Enrichment_p_value_adjusted,Average_divergence_genes,Average_divergence_all,Observed_TEs_number_log,Total_TEs_number_log,Random_Odds_Ratio_Mean,Random_Odds_Ratio_SD,Random_Odds_Ratio_Quantile_Of_Observed,p_raw_empirical,p_raw_empirical_clamped,p_adjusted_empirical_bh,Status,OR_Observed_to_Random,Enrichment_p_value_adjusted_log,avg_weight,total_weight,node_degree,gene_number
LTR39,LTR39,LTR39,LTR,81,743,1.2787174110742194,0.0435778776168359,0.0739013562552573,169.6172839506173,170.2920592193809,1.9084850188786495,2.8709888137605755,1.6681958870877174,0.2625514555677478,0.92,0.1599999999999999,0.1599999999999999,0.2597727272727273,Non-Significant,0.7665271332772334,-1.1313475912564679,0.005947796775894758,1.6296963165951637,274.0,61.0
AluSz6,AluSz6,AluSz6,SINE,5060,30861,2.0495835787343752,0.0,0.0,129.90197628458498,133.72479828910275,3.7041505168397992,4.489409994554269,1.537958706079277,0.0371561195230138,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.3326648957691363,-inf,0.007507925419908949,6.344196979823062,845.0,1436.0
L1PA4,L1PA4,L1PA4,LINE,804,10776,0.8425992346330313,1.915224599689688e-06,6.097776371713965e-06,37.24751243781095,39.3529138827023,2.905256048748451,4.03245758271493,2.5454810825088745,0.0940953418344011,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.3310176769424464,-5.214828506882984,0.006251323224689808,4.801016236561773,768.0,718.0
L5,L5,L5,LINE,81,559,1.7709434746408284,8.32890043543789e-06,2.4663039372294065e-05,271.71604938271605,272.86046511627904,1.9084850188786495,2.747411807886423,1.92730747802986,0.3220400741077958,0.676,0.6479999999999999,0.6479999999999999,0.7414054054054054,Non-Significant,0.9188691969644248,-4.607953403763085,0.0054439849448201195,1.4753199200462523,271.0,66.0
L2,L2,L2,LINE,8484,44723,2.4466958125388536,0.0,0.0,308.4227958510137,315.98964738501445,3.928600659844524,4.650530928146397,2.114679339377142,0.0409627671903291,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.1570055880242835,-inf,0.006560527263980287,5.576448174383244,850.0,1436.0
LTR33,LTR33,LTR33,LTR,613,7483,0.9325050397902096,0.1013932848582087,0.1566115197201791,274.0293637846656,286.82266470666843,2.787460474518415,3.8740757452230343,1.577232299796593,0.0761267722120486,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.5912287238287408,-0.8051762961292647,0.007132724887696579,4.721863875655135,662.0,520.0
MIR,MIR,MIR,SINE,24296,153574,1.9641592731750384,0.0,0.0,266.50996048732304,273.5391146938935,4.385534778910209,5.186317696084091,1.534414274622676,0.0167664804960963,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.2800710379587936,-inf,0.007154857460953715,5.6308728217705735,787.0,1436.0
AluSc,AluSc,AluSc,SINE,3815,23710,2.0040159277420866,9.202931815978314e-289,3.0938091369597686e-287,94.59711664482306,98.191986503585,3.581494542290899,4.374931553978188,1.533793638274177,0.0425303391143721,0.0,0.0,0.0039920159680638,0.0107072599531616,Significant,1.3065746771495306,-286.5095064822727,0.006286086875397861,5.412320799717558,861.0,1436.0
MLT1H,MLT1H,MLT1H,LTR,600,7530,0.9048267596493704,0.0188930226018743,0.0354011882523646,257.825,262.1363877822045,2.7781512503836434,3.876794976200701,1.600983744073366,0.0760040380229499,1.0,0.0,0.0039920159680638,0.0107072599531616,Significant,0.5651692361018166,-1.4509821604944313,0.007100111188438851,4.9984782766609515,704.0,506.0
L3,L3,L3,LINE,5395,29751,2.3149301613822555,0.0,0.0,297.1714550509731,305.185640818796,3.7319914490189294,4.473501567953073,2.2503029100941125,0.0534568916572163,0.126,0.252,0.252,0.3609473684210526,Non-Significant,1.0287193564023076,-inf,0.007357041686422339,6.076916432984852,826.0,1436.0
